id,title,day,hour,place,description
1,SOPAR DIJOUS GRAS AMB BALL,dijous,21.00,Espai Mercat,
2,TIETES PARTY,divendres,1.00,La Boite,
3,XOCOLATADA I RUA INFANTIL,divendres,17.30,Plaça Sant Antoni,
4,MARXA CONTRA L’ESCLAVITUD DIGITAL,divendres,23.30,Carrers del Centre,
5,ASSEMBLEA DE LA TÀRREGA RESISTENT,dissabte,0.30,Espai Mercat,
6,COMERÇ-TOLTES AMB LES ÀNIMES D’ESTEVE FESTUC JOBS,dissabte,12.00,Centre Ciutat,
7,"3, 2, 1 GOOO! TÀRREGA 5.0",dissabte,18.30,Pàrquing Estació de Tren,
8,ARRIBADA DE SA MAJESTAT LA REINA CARNESTOLTES,dissabte,19.00,Pàrquing Estació de Tren,
9,INICI RUA CARNESTOLTES 2020,dissabte,19.30,Pàrquing Estació de Tren,
10,DISCURS DE SA MAJESTAT LA REINA CARNESTOLTES,dissabte,20.30,Plaça de les Nacions sense Estat,
11,CAP A SOPAR,dissabte,21.15,Plaça de les Nacions sense Estat,
12,SOPAR 5G,dissabte,21.30,Club Natació Tàrrega,
13,RUA CAP A L’ESPAI MERCAT,diumenge,0.00,Club Natació Tàrrega,
14,FESTA ANAL·LÒGICA,diumenge,0.30,Espai Mercat,
15,ENTREGA DE PREMIS,diumenge,1.00,Espai Mercat,
16,XOCOLATADA VIRTUAL,diumenge,6.30,Espai Mercat,
17,BALL DE DISFRESSES,diumenge,19.00,Espai Mercat,
